年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2018,语文,浙江,新高考,2017,地方/区域卷,local,浙江卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（浙江）语文高考真题\2018年高考语文试卷（浙江）（空白卷）.pdf,papers/2018/语文/浙江/浙江卷/2018_语文_浙江_浙江卷_原卷.pdf,2
2018,语文,安徽,老高考,2024,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2012-2024·（安徽）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_安徽_新课标全国I卷_原卷.pdf,2
2018,语文,福建,老高考,2021,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2012-2024·（福建）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_福建_新课标全国I卷_原卷.pdf,2
2018,语文,江西,老高考,2024,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2012-2024·（江西）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_江西_新课标全国I卷_原卷.pdf,2
2018,语文,山东,老高考,2020,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（山东）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_山东_新课标全国I卷_原卷.pdf,2
2018,语文,河南,老高考,2025,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（河南）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_河南_新课标全国I卷_原卷.pdf,2
2018,语文,湖北,老高考,2021,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2012-2024·（湖北）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_湖北_新课标全国I卷_原卷.pdf,2
2018,语文,湖南,老高考,2021,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（湖南）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_湖南_新课标全国I卷_原卷.pdf,2
2018,语文,广东,老高考,2021,全国卷,common,新课标全国I卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（广东）语文高考真题\2018年高考语文试卷（新课标Ⅰ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国I卷/2018_语文_广东_新课标全国I卷_原卷.pdf,2
2018,语文,广西,老高考,2024,全国卷,common,新课标全国III卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考语文真题\版本2：语文（按省份分类）2008-2024\2008-2024·（广西）语文高考真题\2018年高考语文试卷（新课标Ⅲ卷）（空白卷）.pdf,papers/2018/语文/全国/新课标全国III卷/2018_语文_广西_新课标全国III卷_原卷.pdf,2
