年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2025,政治,江苏,新高考,2021,地方/区域卷,local,江苏卷,done,../../papers/2025/政治/江苏/江苏卷/2025_政治_江苏卷_原卷.pdf,../../papers/2025/政治/江苏/江苏卷/2025_政治_江苏卷_OCR与考点.md,,pypdf,11
2025,政治,浙江,新高考,2017,,missing,,missing,../../../..,../../../..,../../../..,,
2025,政治,安徽,新高考,2024,地方/区域卷,local,安徽卷,done,../../papers/2025/政治/安徽/安徽卷/2025_政治_安徽卷_原卷.pdf,../../papers/2025/政治/安徽/安徽卷/2025_政治_安徽卷_OCR与考点.md,,pypdf,20
2025,政治,福建,新高考,2021,地方/区域卷,local,福建卷,missing,../../../..,../../../..,../../../..,,
2025,政治,江西,新高考,2024,地方/区域卷,local,江西卷,missing,../../../..,../../../..,../../../..,,
2025,政治,山东,新高考,2020,地方/区域卷,local,山东卷,done,../../papers/2025/政治/山东/山东卷/2025_政治_山东卷_原卷.pdf,../../papers/2025/政治/山东/山东卷/2025_政治_山东卷_OCR与考点.md,,rapidocr,10
2025,政治,河南,新高考,2025,地方/区域卷,local,河南卷,done,../../papers/2025/政治/河南/河南卷/2025_政治_河南卷_原卷.pdf,../../papers/2025/政治/河南/河南卷/2025_政治_河南卷_OCR与考点.md,,pypdf,19
2025,政治,湖北,新高考,2021,地方/区域卷,local,湖北卷,done,../../papers/2025/政治/湖北/湖北卷/2025_政治_湖北卷_原卷.pdf,../../papers/2025/政治/湖北/湖北卷/2025_政治_湖北卷_OCR与考点.md,,pypdf,19
2025,政治,湖南,新高考,2021,地方/区域卷,local,湖南卷,done,../../papers/2025/政治/湖南/湖南卷/2025_政治_湖南卷_原卷.pdf,../../papers/2025/政治/湖南/湖南卷/2025_政治_湖南卷_OCR与考点.md,,pypdf,20
2025,政治,广东,新高考,2021,地方/区域卷,local,广东卷,done,../../papers/2025/政治/广东/广东卷/2025_政治_广东卷_原卷.pdf,../../papers/2025/政治/广东/广东卷/2025_政治_广东卷_OCR与考点.md,,pypdf,21
2025,政治,广西,新高考,2024,地方/区域卷,local,广西卷,missing,../../../..,../../../..,../../../..,,
