年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,试卷路径,Markdown路径,听力路径,OCR方式,识别页数
2020,数学,海南,新高考,2020,全国卷,common,新高考Ⅱ卷,done,[打开试卷](../../papers/2020/数学/全国/新高考Ⅱ卷/2020_数学_新高考Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2020/数学/全国/新高考Ⅱ卷/2020_数学_新高考Ⅱ卷_OCR与考点.md),,pypdf,7
2020,英语,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/英语/北京/北京卷/2020_英语_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/北京/北京卷/2020_英语_北京卷_OCR与考点.md),,pypdf,11
2020,英语,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/英语/天津/天津卷/2020_英语_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/天津/天津卷/2020_英语_天津卷_OCR与考点.md),,pypdf,10
2020,英语,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2020/英语/上海/上海卷/2020_英语_上海卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/上海/上海卷/2020_英语_上海卷_OCR与考点.md),[打开听力](../../papers/2020/英语/上海/上海卷/2020_英语_上海卷_听力.mp3),pypdf,12
2020,英语,浙江,新高考,2017,地方/区域卷,local,浙江卷,done,[打开试卷](../../papers/2020/英语/浙江/浙江卷/2020_英语_浙江卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/浙江/浙江卷/2020_英语_浙江卷_OCR与考点.md),[打开听力](../../papers/2020/英语/浙江/浙江卷/2020_英语_浙江卷_听力.mp3),pypdf,6
2020,英语,山东,新高考,2020,全国卷,common,新高考Ⅰ卷,done,[打开试卷](../../papers/2020/英语/全国/新高考Ⅰ卷/2020_英语_新高考Ⅰ卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/全国/新高考Ⅰ卷/2020_英语_新高考Ⅰ卷_OCR与考点.md),[打开听力](../../papers/2020/英语/全国/新高考Ⅰ卷/2020_英语_新高考Ⅰ卷_听力.mp3),pypdf,9
2020,英语,海南,新高考,2020,全国卷,common,新高考Ⅱ卷,done,[打开试卷](../../papers/2020/英语/全国/新高考Ⅱ卷/2020_英语_新高考Ⅱ卷_原卷.pdf),[打开Markdown](../../papers/2020/英语/全国/新高考Ⅱ卷/2020_英语_新高考Ⅱ卷_OCR与考点.md),[打开听力](../../papers/2020/英语/全国/新高考Ⅱ卷/2020_英语_新高考Ⅱ卷_听力.mp3),pypdf,17
2020,物理,北京,新高考,2020,地方/区域卷,local,北京卷,done,[打开试卷](../../papers/2020/物理/北京/北京卷/2020_物理_北京卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/北京/北京卷/2020_物理_北京卷_OCR与考点.md),,pypdf,13
2020,物理,天津,新高考,2020,地方/区域卷,local,天津卷,done,[打开试卷](../../papers/2020/物理/天津/天津卷/2020_物理_天津卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/天津/天津卷/2020_物理_天津卷_OCR与考点.md),,pypdf,8
2020,物理,上海,新高考,2017,地方/区域卷,local,上海卷,done,[打开试卷](../../papers/2020/物理/上海/上海卷/2020_物理_上海卷_原卷.pdf),[打开Markdown](../../papers/2020/物理/上海/上海卷/2020_物理_上海卷_OCR与考点.md),,pypdf,5
